name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Invariant,"['Solana', 'Eclipse']",Dexs,25741.0,180187.0,592043.0,0.0,0.0,
GMX V2 AMM,"['Arbitrum', 'Avalanche', 'Botanix', 'Solana', 'MegaETH']",Dexs,25667.0,226498.0,930606.0,-5.79,-2.81,-57.24
Pool Party,['Canton'],Dexs,25367.0,776988.0,2844420.0,-67.79,-85.01,
RateX DEX,['Solana'],Yield,24734.0,677718.0,3486343.0,-29.94,-80.36,-86.33
SquadSwap Dynamo,['BSC'],Dexs,23954.0,124327.0,1084093.0,12.41,4.62,86.17
4Swap,['Mixin'],Dexs,23905.0,285115.0,1532625.0,11.43,-57.22,-55.96
Omnipair,['Solana'],Lending,23787.0,225045.0,735199.0,-58.81,-49.39,53.17
Based Predict,['Polygon'],Interface,23770.0,311252.0,3002600.0,-31.3,-44.22,-65.87
Yuzu Finance,['Movement'],Dexs,23763.0,427939.0,2083029.0,-71.94,-74.02,-49.74
FrenFlow,['Polygon'],Prediction Market,23054.0,82740.0,89356.0,-41.21,442.96,256055.56
DFlow Prediction Market,['Solana'],Interface,22865.0,119170.0,817572.0,-28.58,-62.11,
NetSwap,['Metis'],Dexs,22503.0,358151.0,1524316.0,-30.6,-38.44,-62.59
Solayer Card,['Solana'],Crypto Card Issuer,22399.0,151976.0,1567851.0,-1.85,-11.51,
Rainbow Predictions,['Polygon'],Interface,22304.0,518868.0,1652214.0,-83.14,-6.28,4.43
KlaySwap V1,['Kaia'],Dexs,22094.0,281366.0,623529.0,-37.28,12.26,141.54
StellaSwap V4,['Moonbeam'],Dexs,21577.0,199538.0,1436891.0,-40.84,-37.44,-10.92
Ramses CL,['Arbitrum'],Dexs,21009.0,158073.0,193880.0,-21.84,,-72.33
Shadow Exchange Legacy,['Sonic'],Dexs,20902.0,130605.0,496389.0,100.21,17.28,-24.04
zkSwap V3,"['ZKsync Era', 'Sonic', 'Monad']",Dexs,20705.0,146218.0,760859.0,36.08,-15.49,-47.33
DeltaTrade,"['Near', 'Solana']",Dexs,20473.0,48882.0,129408.0,309.54,99.02,2655.45
Bulla Exchange,['Berachain'],Dexs,20338.0,145283.0,688732.0,9.51,-28.51,-3.93
Worm,['Solana'],Prediction Market,18923.0,118396.0,170793.0,-41.29,-6.82,
BabySwap,['BSC'],Dexs,18521.0,144836.0,588561.0,8.72,-27.04,-10.28
Skate AMM,"['Ethereum', 'BSC', 'Base', 'Arbitrum', 'Solana', 'Eclipse', 'Hyperliquid L1', 'Plume Mainnet', 'Mantle', 'Sui', 'Monad', 'MegaETH', 'Tempo']",Dexs,18476.0,129299.0,713306.0,277.76,-25.92,
EulerSwap,"['Ethereum', 'Unichain', 'BSC', 'Monad']",Dexs,17452.0,217385.0,1562226.0,-53.08,-88.82,-93.58
Pharaoh V3 Legacy,['Avalanche'],Dexs,17387.0,90361.0,457232.0,-9.0,8.45,-71.99
Bancor V3,['Ethereum'],Dexs,17268.0,353801.0,1287821.0,-35.17,-88.08,-59.9
Polycule,['Polygon'],Interface,17264.0,202306.0,909445.0,7.94,51.21,-74.12
BabyDogeSwap,['BSC'],Dexs,16102.0,164011.0,777531.0,26.07,-48.66,-42.55
Platypus Finance,['Avalanche'],Dexs,15625.0,43851.0,671598.0,1020.88,187.86,-53.64
Uniswap V1,['Ethereum'],Dexs,15206.0,140673.0,12189540.0,-20.96,16.25,-57.9
Consensus Liquidity DEX,['Kaia'],Dexs,14944.0,215594.0,381338.0,-6.55,162.87,297.02
Scale,['Base'],Dexs,14727.0,95569.0,486412.0,2.02,-58.44,16.35
H2 Finance V2,['Cronos zkEVM'],Dexs,14480.0,94614.0,115491.0,-9.02,,-27.94
Splash Protocol,['Cardano'],Dexs,14407.0,92858.0,963850.0,14.52,8.27,334.47
BaseX,['Base'],Dexs,14212.0,95177.0,491220.0,50.58,-21.76,-6.35
Defi Swap,['Ethereum'],Dexs,14099.0,411615.0,455830.0,-46.38,,-99.59
HbarSuite,['Hedera'],Dexs,13781.0,126766.0,622668.0,-5.84,-37.63,8.42
Arena DEX,['Avalanche'],Dexs,12883.0,39384.0,181759.0,251.04,162.38,1.92
Hercules V3,['Metis'],Dexs,12822.0,164296.0,186912.0,-8.47,,-69.17
Deeptrade,['Sui'],Interface,12802.0,31638.0,1262032.0,978.52,122.26,-85.58
WanSwap Dex,['Wanchain'],Dexs,12756.0,72423.0,76625.0,-3.94,,405.99
Nad.fun,['Monad'],Launchpad,12239.0,99631.0,1101045.0,-60.84,-90.7,-86.17
Velodrome V1,"['OP Mainnet', 'Mode', 'BOB']",Dexs,11884.0,111229.0,522138.0,-47.62,-61.51,-50.45
OkieSwap V3,['X Layer'],Dexs,11748.0,112154.0,532309.0,-35.09,-67.36,-21.02
KittyPunch PunchSwap,['Flow'],Dexs,11732.0,229325.0,1366856.0,-28.18,-52.73,-84.69
SwapBased Concentrated Liquidity,['Base'],Dexs,11684.0,60409.0,210834.0,57.38,26.57,104.48
SakuraSwap AMM,"['Ink', 'Zero Network', 'Shape', 'Abstract']",Dexs,11363.0,148153.0,795558.0,-62.83,,-55.03
PacaSwap DEX,['Pacaswap'],Dexs,11344.0,135167.0,703459.0,-12.43,-59.58,-15.25
Reactor DEX,['Fuel Ignition'],Dexs,11313.0,78205.0,9205241.0,11.52,-4.97,-93.05
Seer,"['Ethereum', 'Gnosis']",Prediction Market,11213.0,16747.0,77906.0,912.92,,186.48
FlowX V2,['Sui'],Dexs,11052.0,48081.0,211491.0,97.15,58.13,116.32
SpookySwap V2,"['Fantom', 'Horizen EON', 'Bittorrent', 'Sonic']",Dexs,10741.0,43859.0,414465.0,5.41,13.09,195.16
Swop,"['Waves', 'Unit Zero']",Dexs,10533.0,94719.0,382365.0,-22.19,-19.83,-14.24
Rooster Protocol V1,"['Plume (Deprecated)', 'Plume Mainnet']",Dexs,10276.0,30523.0,262626.0,123.39,26.38,-24.81
Nile CL,['Linea'],Dexs,10098.0,122030.0,758532.0,6.33,3.68,6.87
1DEX,['Vaulta'],Dexs,9893.0,97073.0,388471.0,-17.49,-14.32,-28.85
Bean Exchange,['Monad'],Dexs,8796.0,32668.0,237637.0,389.76,-6.08,-23.64
Curve LlamaLend,"['Ethereum', 'Arbitrum', 'OP Mainnet', 'Fraxtal', 'Sonic']",Lending,8756.0,70926.0,371525.0,31.89,-51.61,-1.02
Paradex Spot,['Paradex'],Dexs,8746.0,81231.0,435183.0,-19.24,-46.72,-78.89
Ferro,['Cronos'],Dexs,8653.0,201239.0,701635.0,-68.56,-49.92,-60.87
Ubeswap V2,['Celo'],Dexs,8636.0,37411.0,41751.0,28.21,,295.6
Gliquid,['Hyperliquid L1'],Dexs,8623.0,145614.0,255829.0,-56.66,-44.88,43.45
Etherex Legacy,['Linea'],Dexs,8616.0,85677.0,455286.0,241.5,51.96,-51.56
AuroraSwap,['Aurora'],Dexs,8491.0,22068.0,65885.0,181.72,119.97,524.34
Sonex,['Soneium'],Dexs,8438.0,56943.0,201042.0,-0.08,14.6,1.42
Balanced Exchange,['Icon'],Dexs,8173.0,41802.0,244372.0,524.85,155.97,217.52
Drip.Trade,['Hyperliquid L1'],NFT Marketplace,7770.0,34737.0,52650.0,-56.85,147.69,854.55
LiquidSwap,['Aptos'],Dexs,7646.0,48630.0,386476.0,19.99,-15.98,22.63
Somnia Exchange,['Somnia'],Dexs,6892.0,25391.0,135031.0,408.26,75.37,43.43
Pharaoh CL,['Avalanche'],Dexs,6883.0,83032.0,97604.0,7.01,,-78.59
Infusion,['Base'],Dexs,6746.0,47913.0,184476.0,17.2,-10.35,-24.38
GT3,['Polygon'],Dexs,6711.0,112757.0,775010.0,-32.34,-22.02,-88.68
Kava Swap,['Kava'],Dexs,6702.0,126277.0,317077.0,-48.48,-44.61,-80.0
ZealousSwap,"['Igra', 'Kasplex']",Dexs,6492.0,104107.0,573414.0,-51.67,-17.96,-67.39
KIM Exchange V3,['Mode'],Dexs,6444.0,24569.0,127149.0,66.9,-4.89,-22.04
RamsesX Arbitrum CL,['Arbitrum'],Dexs,6349.0,39366.0,195849.0,44.76,51.24,-63.6
Zyberswap V3,['Arbitrum'],Dexs,6314.0,35267.0,35346.0,-0.36,,4611.94
KittyPunch StableKitty,['Flow'],Dexs,6075.0,77458.0,487610.0,4.98,-2.94,-79.97
Thick,"['Arbitrum', 'Base', 'Fantom', 'Sonic']",Dexs,5870.0,48271.0,165373.0,-4.79,1.96,-52.71
Koi Finance AMM,['ZKsync Era'],Dexs,5816.0,74920.0,319826.0,7.76,-43.5,-52.2
HyperBrick,['Hyperliquid L1'],Dexs,5705.0,13539.0,21467.0,2840.72,463.18,1758.31
Arena Launch,['Avalanche'],Launchpad,5704.0,11565.0,38710.0,612.11,86.04,291.49
Treble Spot,['Base'],Dexs,5592.0,83175.0,318289.0,2.59,-71.06,120.07
Monday Trade Spot,['Monad'],Dexs,5463.0,98791.0,1132272.0,-72.64,-46.19,-95.09
Saphyre V2,['Sei'],Dexs,5456.0,38981.0,615305.0,30.15,144.12,-63.14
Asset Chain Swap,['Asset Chain'],Dexs,4830.0,28676.0,305496.0,-40.98,-78.84,164.08
Atmos DEX,['Supra'],Dexs,4785.0,77737.0,492419.0,62.7,-5.21,216.05
FlowBot Prediction,['Polygon'],Interface,4385.0,24641.0,68631.0,-17.56,27.29,29.27
BetterSwap,['VeChain'],Dexs,4321.0,63738.0,261632.0,-37.98,-52.99,-56.57
CaviarNine Agg,['Radix'],DEX Aggregator,4163.0,204117.0,360650.0,-95.2,-44.96,-64.08
Joe V2,"['Avalanche', 'Arbitrum', 'BSC', 'Ethereum']",Dexs,4133.0,21467.0,121177.0,402.8,176.45,-75.63
Kodiak V2,['Berachain'],Dexs,4096.0,25678.0,87116.0,67.46,72.68,211.25
GarudaDefi,['Terra Classic'],Dexs,4082.0,34052.0,305034.0,-5.09,-54.92,-13.85
Allbridge Classic,"['BSC', 'Ethereum', 'Heco', 'Stellar', 'Avalanche', 'Polygon', 'Solana', 'Celo', 'Fantom', 'Kaia', 'Aurora', 'Near', 'Terra Classic', 'Tezos', 'Harmony', 'Waves', 'Fuse', 'Stacks']",Bridge,4073.0,25569.0,3813054.0,690.87,178.78,-98.2
Elexium,['Alephium'],Dexs,3976.0,9254.0,58784.0,75.54,22.19,51.76
CaviarNine Shape Liquidity,['Radix'],Dexs,3830.0,89760.0,209866.0,-88.66,-41.72,-9.69
WigoSwap,['Fantom'],Dexs,3743.0,40680.0,808769.0,0.21,-65.48,21.57
Dusa Protocol,['Massa'],Dexs,3529.0,38313.0,103459.0,-76.85,188.08,63.23
WannaSwap,['Aurora'],Dexs,3483.0,6496.0,19559.0,235.23,285.29,1019.94
Solarbeam,['Moonriver'],Dexs,3359.0,36088.0,429938.0,96.66,-39.93,-73.69
PancakeSwap Lottery,['BSC'],Luck Games,3336.0,17992.0,68341.0,318.57,177.08,-23.33
Tethys AMM,['Metis'],Dexs,3277.0,38615.0,176068.0,0.09,-27.6,-53.68
NarBet,['Monad'],Luck Games,3227.0,21637.0,86208.0,23.07,1513.5,27.85
KLEX Finance,['Kaia'],Dexs,2994.0,37565.0,54681.0,50.91,630.24,1248.65
ArcherSwap,['CORE'],Dexs,2988.0,18293.0,200809.0,167.02,37.89,-88.82
Polycat,['Polygon'],Farm,2934.0,36578.0,117500.0,64.92,28.23,-64.73
Amped Finance,"['LightLink', 'BSC', 'Sonic', 'Berachain', 'Base', 'Superseed']",Derivatives,2927.0,4709.0,14981.0,401.2,2204.72,1482.16
PiperX V3,['Story'],Dexs,2873.0,150289.0,4165478.0,-84.13,-97.93,-96.52
Equalizer Exchange,"['Fantom', 'Sonic']",Dexs,2870.0,14412.0,93742.0,224.66,-23.91,26.04
H2 Finance V3,['Cronos zkEVM'],Dexs,2680.0,22312.0,28053.0,-26.39,,-79.42
E3,"['Fantom', 'Arbitrum', 'Base']",Dexs,2579.0,25213.0,105793.0,-7.26,-39.87,39.03
Gate Fun,['GateLayer'],Launchpad,2564.0,15245.0,105834.0,164.6,-5.42,43.48
Dinosaur Eggs,['BSC'],Dexs,2563.0,54009.0,332507.0,-56.77,-76.81,-61.38
BlueMove DEX,"['Aptos', 'Sui']",Dexs,2561.0,16667.0,123065.0,6.22,-3.32,113.95
BulbaSwap V2,['Morph'],Dexs,2555.0,14487.0,52487.0,303.63,50.38,5.97
Capybara Dexs,['Kaia'],Dexs,2482.0,22651.0,99257.0,42.07,19.85,49.7
Swapr V2,"['Ethereum', 'Gnosis', 'Arbitrum']",Dexs,2286.0,80245.0,234861.0,-88.35,-42.3,-55.37
Meridian AMM,['Movement'],Dexs,2208.0,25179.0,1239282.0,-64.2,-36.41,-92.56
Astrolescent,['Radix'],Dexs,2208.0,62596.0,92016.0,-92.61,167.31,312.71
SyncSwap V3,"['Linea', 'Sophon', 'ZKsync Era']",Dexs,2201.0,10753.0,136293.0,523.51,-72.77,-66.08
SimpleDEX,['XPR Network'],Dexs,2140.0,13962.0,82900.0,-15.21,59.34,-58.57
ShibaSwap V2,"['Ethereum', 'Shibarium']",Dexs,2098.0,19792.0,37957.0,27.69,8.2,91.25
RHEA Cross Chain,['Near'],Cross Chain Bridge,2087.0,2614.0,11321.0,4159.18,314.09,
XSwap V2,['XDC'],Dexs,2048.0,18205.0,81079.0,-25.61,-62.0,150.98
Merchant Moe DEX,['Mantle'],Dexs,1919.0,29064.0,127908.0,91.71,44.18,-70.46
ApertureSwap,['Manta'],Dexs,1916.0,17457.0,97194.0,-27.94,-35.2,-56.38
DefiBox,"['BSC', 'Vaulta', 'Wax']",Dexs,1890.0,48040.0,664066.0,-66.56,-95.15,-86.9
SpinUp DEX,['Hyperliquid L1'],Dexs,1860.0,7219.0,18923.0,127.66,-5.2,1041.1
Honeyswap,"['Gnosis', 'Polygon']",Dexs,1830.0,76459.0,289131.0,-13.43,-59.41,-89.76
Xfai,['Linea'],Dexs,1805.0,18552.0,84344.0,375.0,0.56,-47.92
BaseSwap V2,['Base'],Dexs,1756.0,17205.0,122592.0,-38.52,-2.5,-43.81
Blasterswap V2,['Blast'],Dexs,1752.0,12163.0,37433.0,228.71,109.32,69.44
Velar AMM,['Stacks'],Dexs,1736.0,7984.0,30261.0,496.56,193.24,33.54
Oswap AMM,['Obyte'],Dexs,1727.0,13730.0,40334.0,-36.34,167.34,3.79
Voltage V4,['Fuse'],Dexs,1692.0,4169.0,13748.0,77.54,276.84,540.91
AutoShark,['BSC'],Dexs,1670.0,4563.0,16610.0,706.76,225.54,224.27
Rubicon,"['OP Mainnet', 'Arbitrum', 'Ethereum', 'Base']",Dexs,1654.0,11589.0,61671.0,0.0,-0.3,-2.36
Web3.world,['Venom'],Dexs,1651.0,15594.0,56759.0,38.97,-31.72,167.15
CaviarNine LSU Pool,['Radix'],Dexs,1647.0,12205.0,57209.0,-0.96,-11.26,-16.48
Karura Swap,['Karura'],Dexs,1613.0,4355.0,50889.0,8861.11,,40.75
Gacha,['Abstract'],Prediction Market,1586.0,16831.0,104535.0,-0.88,1.21,286.83
Dfyn Network,['Polygon'],Dexs,1568.0,16005.0,89328.0,-23.55,-46.02,-42.54
Omni Exchange V3,"['OP Mainnet', 'Arbitrum', 'Base', 'BSC', 'Avalanche', 'Sonic', 'Plasma']",Dexs,1556.0,6625.0,8943.0,570.69,764.44,77700.0
DataDex,['Vana'],Dexs,1546.0,328444.0,1007591.0,154500.0,-92.61,-96.95
EddyFinance AMM,['ZetaChain'],Dexs,1492.0,13262.0,114958.0,141.82,-56.21,-41.67
QIEDex,['QIE'],Dexs,1485.0,3009.0,13511.0,180.19,356.92,
FVM Exchange,['Fantom'],Dexs,1474.0,7734.0,78997.0,2.08,1.31,406.53
Sologenic,['XRPL'],Dexs,1467.0,59440.0,511713.0,-77.98,-97.47,-26.13
StellaSwap V2,['Moonbeam'],Dexs,1414.0,7830.0,76380.0,296.08,68.53,-5.16
Metropolis AMM,['Sonic'],Dexs,1390.0,4082.0,283691.0,565.07,-14.46,-61.78
Pinto,['Base'],Algo-Stables,1389.0,8124.0,30371.0,49.52,6.93,27.31
Supernova AMM,['Ethereum'],Dexs,1321.0,42855.0,229353.0,-78.36,-83.46,-93.79
stabble CLMM,['Solana'],Dexs,1287.0,7751.0,61213.0,131.06,-65.96,-14.82
Revoswap,['X Layer'],Dexs,1286.0,14975.0,55051.0,72.85,38.28,-8.21
StarkDeFI,['Starknet'],Dexs,1275.0,9190.0,64094.0,-46.61,10.58,-50.5
OolongSwap,['Boba'],Dexs,1274.0,9400.0,105999.0,1213.4,171.64,-33.37
PumpSpace V2,['Avalanche'],Dexs,1176.0,100739.0,306779.0,-5.62,-79.34,-97.87
KaspaCom Dex,"['Kasplex', 'Igra']",Dexs,1155.0,9450.0,151104.0,-41.28,-66.53,-5.48
ShapeSwap V3,['Shape'],Dexs,1091.0,12264.0,94763.0,-16.27,-40.28,-27.36
DeltaDeFi,['Cardano'],Dexs,1076.0,4680.0,48616.0,4383.33,-20.41,4204.0
Kokonut Swap,"['Kaia', 'Polygon zkEVM', 'Base']",Dexs,1028.0,13185.0,21809.0,-80.82,391.87,210.57
Pixie Chess,['Base'],Gaming,1007.0,8277.0,50522.0,-25.24,-20.4,-55.89
Ferra CLMM,['Sui'],Dexs,1004.0,102423.0,153122.0,-80.2,-88.22,273.23
WinerySwap,['BSC'],Dexs,984.0,10416.0,36378.0,32.44,-47.01,-30.06
SMARDEX AMM,"['Ethereum', 'BSC', 'Polygon', 'Arbitrum', 'Base']",Dexs,960.0,16599.0,86065.0,-52.55,-34.52,-73.1
Increment Swap,['Flow'],Dexs,953.0,37313.0,196683.0,-53.72,-56.32,-93.1
Nuri CL,['Scroll'],Dexs,952.0,9307.0,85673.0,73.72,-36.87,-67.76
SwapBased AMM,['Base'],Dexs,940.0,22445.0,66537.0,-59.38,-14.93,-7.11
KnightSwap Finance,"['BSC', 'Fantom']",Dexs,935.0,9965.0,47314.0,38.52,-46.78,-33.59
SpookySwap V3,"['Fantom', 'Sonic']",Dexs,929.0,32812.0,456187.0,-82.49,-87.0,-91.62
StellaSwap V3,['Moonbeam'],Dexs,926.0,10972.0,11328.0,-11.89,,646.77
WardenSwap,"['BSC', 'OP Mainnet', 'Ethereum', 'Polygon', 'Arbitrum']",Dexs,887.0,9521.0,36947.0,78.47,-48.28,-29.71
DefiChain DEX,['DefiChain'],Dexs,881.0,21468.0,253495.0,-71.62,-47.15,-94.89
SpiritSwap AMM,['Fantom'],Dexs,876.0,13432.0,195785.0,-69.52,-74.36,13.77
Titano Swych,['BSC'],Dexs,861.0,8764.0,31143.0,74.29,-36.83,-23.87
RadioShack,"['Polygon', 'BSC', 'Ethereum', 'Fantom', 'Avalanche']",Dexs,840.0,7265.0,30482.0,44.58,-37.45,-39.7
NextRare,['MegaETH'],Physical TCG,800.0,8250.0,30300.0,128.57,-79.75,
Nile Legacy,['Linea'],Dexs,767.0,6793.0,111142.0,189.43,-53.32,-58.81
Zebra V2,['Scroll'],Dexs,760.0,8091.0,36709.0,4.68,-31.84,-61.46
Enosys AMM V2,"['Flare', 'Songbird']",Dexs,744.0,14420.0,67742.0,-52.12,-73.57,-44.48
Juiceswap,['Citrea'],Dexs,736.0,72316.0,494861.0,2274.19,-83.5,-96.57
KittyPunch PunchSwap V3,['Flow'],Dexs,732.0,13019.0,114564.0,-25.61,-54.87,-78.66
Sailor,['Sei'],Dexs,718.0,5765.0,8104.0,89.45,54.41,71700.0
HyperJump,"['BSC', 'Fantom', 'Metis']",Dexs,718.0,3446.0,12583.0,223.42,26.19,100.56
Nearpad,['Aurora'],Dexs,701.0,970.0,3349.0,887.32,494.07,2820.83
Blue Planet,['BSC'],Dexs,693.0,5651.0,20679.0,220.83,-6.98,19.28
EchoDEX V3,['Linea'],Dexs,691.0,5932.0,23921.0,45.78,-21.57,-20.67
Thruster V2,['Blast'],Dexs,668.0,6210.0,21741.0,24.16,25.09,103.66
Arena SocialFi,['Avalanche'],SoFi,645.0,5051.0,22876.0,76.23,-2.71,-32.03
JetSwap,"['BSC', 'Fantom', 'Polygon']",Dexs,624.0,358773.0,374359.0,84.62,-18.32,-23.9
Alita Finance,['BSC'],Dexs,605.0,5558.0,27622.0,53.16,-47.39,-47.39
DefiPlaza,"['Ethereum', 'Radix']",Dexs,559.0,14364.0,42737.0,-85.94,-68.08,-52.79
Pearl V1,['Polygon'],Dexs,505.0,6650.0,34676.0,-20.22,62.9,258.16
Solidly V2,['Ethereum'],Dexs,500.0,3436.0,4192.0,185.71,,89.39
OkieSwap V2,['X Layer'],Dexs,498.0,917.0,12170.0,,205.52,-52.34
zkSwap StableSwap,['ZKsync Era'],Dexs,492.0,25214.0,90118.0,-95.39,-68.92,-26.24
OraiDEX,['Oraichain'],Dexs,490.0,2904.0,26204.0,105.02,-18.74,-81.73
Ready Cards,['Solana'],Physical TCG,477.0,3068.0,58690.0,3.7,112.0,-84.83
VinuSwap,['VinuChain'],Dexs,475.0,3286.0,4762.0,-78.06,3553.85,
Somnex V3,['Somnia'],Dexs,468.0,1198.0,12829.0,492.41,231.91,92.59
DackieSwap V3,"['Base', 'OP Mainnet', 'Arbitrum', 'Blast', 'Mode', 'X Layer', 'Linea']",Dexs,463.0,6582.0,86485.0,-0.43,-88.98,-95.31
Microchain,['Fuel Ignition'],Dexs,457.0,6493.0,42298.0,-17.36,-87.98,-65.11
Equilibre,['Kava'],Dexs,439.0,8115.0,60606.0,-15.74,-25.84,-67.21
Ramses Legacy,['Arbitrum'],Dexs,431.0,2226.0,10542.0,3215.38,274.78,-83.83
Zyberswap AMM,['Arbitrum'],Dexs,430.0,2854.0,12078.0,109.76,0.7,-36.11
SolidLizard Dex,['Arbitrum'],Dexs,416.0,3085.0,12851.0,74.79,-19.54,-18.75
SpicySwap,['Tezos'],Dexs,412.0,2619.0,8837.0,212.12,-27.97,151.22
SwapMode V2,['Mode'],Dexs,391.0,2997.0,11127.0,53.94,-34.94,-14.07
Elk,"['Avalanche', 'Polygon', 'Fantom', 'BSC', 'Gnosis', 'KCC', 'Elastos', 'IoTeX', 'Fuse', 'OKTChain', 'Ethereum', 'Arbitrum', 'OP Mainnet', 'Telos', 'Metis', 'Linea', 'Moonriver', 'Base']",Dexs,372.0,3813.0,30047.0,75.47,-54.74,-58.2
HakuSwap,['Avalanche'],Dexs,351.0,3328.0,21130.0,102.89,2.93,-96.63
Trueo,['Base'],Prediction Market,339.0,9442.0,98974.0,-90.07,-81.59,208.18
Meshswap,['Polygon'],Dexs,335.0,4003.0,34684.0,12.42,-46.74,-60.02
SwapX V2,['Sonic'],Dexs,328.0,1301.0,8172.0,662.79,-27.91,-39.37
Tsunami V3,['Ink'],Dexs,320.0,7431.0,161519.0,-81.17,-78.81,-98.05
Printr,"['BSC', 'Ethereum', 'Base', 'Monad', 'Arbitrum', 'Avalanche', 'Mantle']",Launchpad,319.0,32465.0,643642.0,-33.12,-88.48,-99.55
KIM Exchange V2,['Mode'],Dexs,306.0,3636.0,12423.0,40.37,-44.16,-30.45
Mimo V2,['IoTeX'],Dexs,304.0,10016.0,29207.0,-26.75,-42.75,2238.46
Ociswap Precision,['Radix'],Dexs,302.0,7388.0,34580.0,-86.41,-78.43,-83.25
IcecreamSwap V2,"['Bitgert', 'CORE']",Dexs,289.0,1447.0,11308.0,14.68,604.88,-80.73
HX Finance,['Hyperliquid L1'],Dexs,283.0,21703.0,46086.0,-84.68,-88.58,-61.39
HorizonDEX,"['Linea', 'Base']",Dexs,281.0,2333.0,8540.0,-1.4,18.07,2.55
Cone,['BSC'],Dexs,280.0,5659.0,14334.0,-4.11,-64.01,115.38
Crodex,['Cronos'],Dexs,279.0,2127.0,7479.0,244.44,5.68,217.05
9mm V2,"['PulseChain', 'Base', 'Sonic']",Dexs,269.0,4470.0,15039.0,-85.99,-16.2,-16.2
Chronos V1,['Arbitrum'],Dexs,265.0,2852.0,15123.0,93.43,29.27,-14.24
Heaven,['Solana'],Dexs,265.0,9090.0,68389.0,-75.42,176.04,10.88
Jellyverse,['Sei'],Dexs,259.0,916.0,6195.0,475.56,286.57,240.79
Somnex DEX,['Somnia'],Dexs,253.0,1006.0,5416.0,1305.56,79.43,912.0
Gravity Finance,['Polygon'],Dexs,241.0,3113.0,17458.0,29.57,-34.51,-53.83
Rarible,"['Ethereum', 'Polygon']",Services,238.0,4611.0,17463.0,-56.33,580.0,-88.93
Dinari,"['Ethereum', 'Base', 'Arbitrum', 'Plume Mainnet']",RWA,230.0,10087.0,84373.0,-28.35,-72.49,-58.03
Delphi,['Gensyn'],Prediction Market,230.0,1677.0,3519.0,-9.8,576.47,
Hybra V2,['Hyperliquid L1'],Dexs,219.0,1150.0,2179.0,226.87,43.14,226.87
DragonSwap V2 Kaia,['Kaia'],Dexs,202.0,2658.0,6015.0,-57.2,41.26,149.38
Maia CL,['Metis'],Dexs,194.0,4968.0,20981.0,-29.2,-65.6,-63.81
SparkDEX V3,['Flare'],Dexs,181.0,2653.0,9696.0,-30.38,-67.56,23.13
PadSwap,"['BSC', 'Moonriver', 'Moonbeam']",Dexs,174.0,2048.0,12890.0,65.71,-43.32,-93.79
Dove Swap V3,['Polygon zkEVM'],Dexs,173.0,2615.0,10125.0,-25.75,-39.93,31.06
Virtus Protocol CL,['Base'],Dexs,172.0,2304.0,13433.0,70.3,-26.81,-82.73
Ociswap Basic,['Radix'],Dexs,166.0,2746.0,11490.0,-51.03,-69.65,-52.97
X3X,['World Chain'],Prediction Market,164.0,1524.0,7279.0,-28.07,-31.67,-36.68
GasPump,['TON'],Launchpad,155.0,13648.0,50447.0,86.75,-70.02,
BladeSwap AMM,['Blast'],Dexs,141.0,1312.0,11794.0,-57.14,-82.64,-90.29
Butter.xyz,['Mantle'],Dexs,140.0,1321.0,8162.0,-28.57,-57.45,-74.22
Dystopia,['Polygon'],Dexs,135.0,2423.0,7242.0,-11.76,-54.08,-22.41
Arbitrum Exchange V2,['Arbitrum'],Dexs,134.0,602.0,7613.0,148.15,57.65,27.62
Volmex,"['Ethereum', 'Polygon', 'Arbitrum']",Yield,131.0,418.0,1227.0,-54.36,,-73.64
Snap V3,['TAC'],Dexs,117.0,1696.0,46182.0,-30.36,-85.34,-87.62
Gravis Finance,"['BSC', 'Polygon', 'Heco']",Dexs,115.0,1234.0,5223.0,-10.16,-49.12,-47.73
Pinot V3,['Monad'],Dexs,113.0,1047.0,4214.0,-24.67,-42.64,-27.56
Ninja Blaze,['Injective'],Prediction Market,113.0,1165.0,4660.0,-42.05,-16.91,39.51
MagicSea AMM,['ShimmerEVM'],Dexs,107.0,225.0,1769.0,10600.0,,435.0
Thaw,['Hyperliquid L1'],Luck Games,106.0,1832.0,10411.0,-55.65,-60.74,
PiperX V2,['Story'],Dexs,103.0,570.0,7009.0,114.58,5.1,-94.3
Vaulta RAM,['Vaulta'],Dexs,97.0,4346.0,20030.0,-90.78,-91.04,155.26
PurpsExchange,['Monad'],Dexs,96.0,535.0,2543.0,74.55,2.13,-29.41
LuaSwap,"['Ethereum', 'Viction']",Dexs,93.0,3539.0,10840.0,-96.0,-82.39,190.63
Cometh,['Polygon'],Dexs,88.0,732.0,4247.0,95.56,-41.33,-72.5
SupSwap V3,['Mode'],Dexs,85.0,3241.0,17848.0,-44.44,-94.38,-76.06
BurrBear,['Berachain'],Dexs,81.0,432.0,1258.0,118.92,58.82,170.0
Lynex V1,['Linea'],Dexs,81.0,1395.0,10844.0,-30.77,-43.75,-98.33
UltronSwap,['Ultron'],Dexs,74.0,27245.0,113586.0,-88.12,-96.15,-77.16
XPress Protocol,['Sonic'],Dexs,72.0,209.0,209.0,,,
Probable,['BSC'],Prediction Market,67.0,198.0,40138.0,139.29,-98.94,-85.56
