name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Balancer V2,"['Ethereum', 'Polygon', 'Arbitrum', 'Gnosis', 'Avalanche', 'Polygon zkEVM', 'Base', 'Mode', 'Fraxtal', 'OP Mainnet']",Dexs,591447.0,6886920.0,57507375.0,-45.1,-50.11,-93.59
Maverick V1,"['Ethereum', 'ZKsync Era', 'BSC', 'Base']",Dexs,581747.0,3049481.0,13807647.0,21.08,50.05,0.69
Capricorn,['Monad'],Dexs,576957.0,2812054.0,10330317.0,70.99,30.7,117.75
Sanctum Reserve,['Solana'],Yield,576583.0,1135815.0,4719925.0,188.95,-39.0,600.28
XSwap V3,['XDC'],Dexs,550482.0,3361700.0,9239666.0,31.1,21.4,149.08
Aquarius Stellar,['Stellar'],Dexs,534709.0,2750025.0,22221496.0,43.1,-49.31,-29.08
VVS Standard,['Cronos'],Dexs,525784.0,5291143.0,23839485.0,-10.53,-46.66,-11.44
ICPSwap,['ICP'],Dexs,506760.0,2117523.0,12606312.0,146.51,15.85,90.42
Cetus DLMM,['Sui'],Dexs,500449.0,2017608.0,8922153.0,103.62,76.98,85.78
Kreo,['Polygon'],Interface,477356.0,4357026.0,17898142.0,-42.17,-6.57,-61.68
o1.exchange,"['Solana', 'Base', 'BSC']",Trading App,465336.0,3996818.0,16939727.0,-5.31,-11.2,-17.25
LumenSwap,['Stellar'],Dexs,455772.0,2107592.0,6755945.0,121.15,12.58,141885.05
Valiant Trade,['Fogo'],Dexs,446011.0,4416544.0,22328293.0,-32.22,-22.26,-56.19
Hybra V3,['Hyperliquid L1'],Dexs,422322.0,3050705.0,8251249.0,-19.36,-7.42,18.24
DragonSwap V3 Kaia,['Kaia'],Dexs,411194.0,4179412.0,10163464.0,-13.94,6.62,128.25
DefiTuna AMM,['Solana'],Dexs,409767.0,2704990.0,14558519.0,19.16,-43.15,-15.24
MachineX CL,['Peaq'],Dexs,406854.0,1302922.0,2861068.0,278.79,126.08,1366.4
Bisq,['Bitcoin'],Dexs,403265.0,1829754.0,6018147.0,65.84,5040712.5,6.56
Ferra DLMM,['Sui'],Dexs,400792.0,2032131.0,8331542.0,46.44,42.39,60.93
Etherex CL,['Linea'],Dexs,399387.0,2680353.0,26712876.0,1.44,-17.54,-58.05
World Markets Spot,['MegaETH'],Dexs,398135.0,1661823.0,6406078.0,32.03,29.44,1099.17
HyperSwap V2,['Hyperliquid L1'],Dexs,383290.0,843015.0,1406142.0,518.15,607.62,3110.94
Minswap DEX,['Cardano'],Dexs,378030.0,2286893.0,12910876.0,54.63,-24.96,34.53
SushiSwap,"['Ethereum', 'Fantom', 'BSC', 'Harmony', 'Polygon', 'Gnosis', 'Arbitrum', 'Avalanche', 'Moonriver', 'Celo', 'Fuse', 'Boba', 'Blast', 'CORE', 'Katana', 'Metis', 'Linea', 'Sonic', 'OP Mainnet', 'Base']",Dexs,374737.0,1979956.0,15405724.0,0.0,,-35.59
Canonic,['MegaETH'],Dexs,372703.0,1880849.0,5837667.0,104.69,154.41,1610.51
DipCoin Spot,['Sui'],Dexs,365293.0,1062095.0,4586504.0,143.12,56.41,297.93
