Category,Market Cap,24h Volume,24h % Change
Smart Contract Platform,2282521528907.0,29958118381.0,0.73
Layer 1 (L1),2250952274969.0,28008235388.0,0.73
Proof of Work (PoW),1619829965156.0,16573883960.0,0.7
World Liberty Financial Portfolio,609985049663.0,42551218659.0,0.39
Proof of Stake (PoS),531247668746.0,10568617590.0,0.75
Made in USA,303958308205.0,15148409062.0,-6.27
Stablecoins,290003994478.0,37160167376.0,-0.17
USD Stablecoin,287855535579.0,37114247037.0,0.01
Fiat-backed Stablecoin,276540944139.0,36387536946.0,-0.2
Exchange-based Tokens,151937854585.0,2527714517.0,0.86
