eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,21Shares,,,93.65580446857598,420285.1053429582,2025-10-03 00:00:00,599.128355834,2688618.4532228666
0,21Shares,,,93.65580446857598,422929.008703106,2025-10-04 00:00:00,0.0,0.0
0,21Shares,,,93.65580446857598,420537.9760150233,2025-10-05 00:00:00,0.0,0.0
0,21Shares,,,93.65580446857598,423005.8064627703,2025-10-06 00:00:00,0.0,0.0
0,21Shares,,,93.65580446857598,439114.60483136534,2025-10-07 00:00:00,0.0,0.0
0,21Shares,,,892.4754490819789,3972800.9130614838,2025-10-08 00:00:00,798.8196446134029,3555897.718817886
0,21Shares,,,892.4754490819789,4041601.8454312137,2025-10-09 00:00:00,0.0,0.0
0,21Shares,,,293.3688260373476,1282051.106665813,2025-10-10 00:00:00,-599.1066230446313,-2618155.8533673435
0,21Shares,,,293.3688260383476,1127032.0853032595,2025-10-11 00:00:00,1e-09,3.84169e-06
0,21Shares,,,293.3688260433476,1100960.3977519958,2025-10-12 00:00:00,5e-09,1.8764100000000002e-05
0,21Shares,,,293.3688260433476,1220340.9741338152,2025-10-13 00:00:00,0.0,0.0
0,21Shares,,,293.3688260433476,1245682.1733274397,2025-10-14 00:00:00,0.0,0.0
0,21Shares,,,292.43363266950763,1206899.9210539984,2025-10-15 00:00:00,-0.9351933738399959,-3859.6272212413087
0,21Shares,,,-1704.5885986652772,-6796433.385282273,2025-10-16 00:00:00,-1997.022231334785,-7962407.219444174
0,21Shares,,,-1704.5885986652772,-6639304.408257308,2025-10-17 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6536739.312275618,2025-10-18 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6635895.231059978,2025-10-19 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6796706.11945806,2025-10-20 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6788728.644816306,2025-10-21 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6607241.096716414,2025-10-22 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6488772.189109177,2025-10-23 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6574495.949736054,2025-10-24 00:00:00,0.0,0.0
0,21Shares,,,-1704.5885986652772,-6709772.100926131,2025-10-25 00:00:00,0.0,0.0
